x,y,feature_id,label,type
612021.6627221396,8753158.103701007,658,azãºcar huayo,slide
611745.4708941375,8753208.210514368,659,ana caspi,center
611786.992811137,8753136.042348191,660,azãºcar huayo,center
611825.8184990943,8753109.526187,661,azãºcar huayo,center
611820.330392781,8753090.383667048,662,azãºcar huayo,center
611835.6453314257,8753184.33612136,663,azãºcar huayo,center
611933.2906073215,8753284.051751984,664,ana caspi,slide
611952.3241245763,8753323.83676501,665,ana caspi,slide
611957.761606065,8753102.460908497,666,azãºcar huayo,slide
611975.4934790101,8753124.498075642,667,azãºcar huayo,slide
611920.1269792976,8753059.350538934,668,azãºcar huayo,slide
611899.7022153565,8753357.360941656,669,ana caspi,slide
611866.4027288186,8753417.886705287,670,ana caspi,center
612256.622269617,8752782.540303841,671,azãºcar huayo,slide
610450.4278430728,8758791.984887835,672,caoba,center
610672.8164042913,8758657.238042708,673,caoba,slide
610611.4161339212,8758658.667120026,674,caoba,slide
610801.2115951292,8758779.220993409,675,caoba,center
609637.1593442014,8753628.555885114,676,estoraque,center
609654.1693647751,8753680.285823653,677,estoraque,center
609668.283017452,8753725.719685258,678,estoraque,center
609900.0638374715,8753782.180522952,679,estoraque,center
609857.8224382862,8753783.147142254,680,estoraque,center
609429.4714363368,8757629.66774321,681,azãºcar huayo,slide
609431.4387909452,8757550.205628477,682,azãºcar huayo,slide
611770.442816496,8753447.878538754,683,ana caspi,center
611730.5401706981,8753131.389565889,684,azãºcar huayo,center
611735.1287241501,8753132.85546774,685,azãºcar huayo,center
611763.984135899,8753080.815029146,686,azãºcar huayo,center
611740.1911654245,8753091.427026333,687,azãºcar huayo,center
611752.7174692326,8753069.548362482,688,azãºcar huayo,center
611756.6087507105,8753075.149123002,689,azãºcar huayo,center
611771.0458103874,8753435.808907475,690,ana caspi,center
612087.737237065,8753261.877099862,691,ana caspi,slide
612159.784670923,8753246.806100428,692,ana caspi,slide
612012.5399242557,8753084.699382398,693,azãºcar huayo,center
612061.5796177849,8753157.740979746,694,azãºcar huayo,center
612041.9558326605,8753144.959815482,695,azãºcar huayo,center
611979.6891481935,8753210.704394875,696,azãºcar huayo,slide
608070.4728972698,8783298.690546323,697,ana caspi,center
608126.0008810707,8783321.453802887,698,ana caspi,center
608037.8302256069,8782897.454653984,699,ana caspi,center
608168.8337726693,8782936.598480226,700,ana caspi,slide
607687.7988165444,8782941.872490292,701,copaiba,slide
608109.5418983318,8782752.670486521,702,ana caspi,slide
608111.8849968397,8782756.946638279,703,ana caspi,slide
607673.6515834797,8782853.484366095,704,copaiba,slide
