id,label,x,y,final_status
1108,pashaco,592296.0951546491,9145497.050476152,center
1150,pashaco,592598.0429921487,9145567.949855125,center
1002,ana caspi,583477.0411365086,9138944.933912525,failed
1007,ana caspi,583287.7237798148,9139061.473311305,failed
1046,ana caspi,583446.9609388385,9139126.683265831,failed
1047,ana caspi,583445.3522891772,9138932.969160492,failed
1048,ana caspi,583486.9247115069,9138957.117196811,failed
1049,ana caspi,583310.6503951449,9139352.05590764,failed
1051,ana caspi,583635.2182463723,9138884.051818933,failed
1052,ana caspi,583488.1350987756,9138888.41738553,failed
1054,ana caspi,583553.3595767948,9139259.800196258,failed
1173,ana caspi,583395.583558511,9139397.60419063,failed
1174,ana caspi,583186.4127774861,9139362.213747486,failed
968,estoraque,590860.6809483318,9144287.480498806,failed
1034,estoraque,590362.526551877,9144303.207144905,center
1058,estoraque,590591.5863598605,9143842.064296788,failed
1063,estoraque,590873.2535003107,9144180.904548926,failed
1075,estoraque,590589.1742428186,9144170.37991351,center
1095,estoraque,590335.2267381565,9144226.538541561,center
1096,estoraque,590358.0559203929,9144260.612379652,center
1140,estoraque,590547.0603339723,9143989.277920356,center
1141,estoraque,590587.0827953795,9144363.761969615,failed
1175,estoraque,590701.7857526132,9144201.666370174,failed
1099,estoraque,591285.9852389791,9144148.13979928,center
1142,estoraque,591077.2659727886,9144160.529473254,center
1073,catahua,582682.2537777289,9139066.084906118,failed
1074,catahua,582803.7606101612,9139216.277486952,failed
1060,guacamayo caspi,595581.412944675,9145593.727264047,failed
1062,guacamayo caspi,595847.5380701323,9145523.932943657,failed
1085,guacamayo caspi,595548.2016119909,9145865.784506515,center
1086,guacamayo caspi,595576.5845349812,9145856.982284224,center
1089,guacamayo caspi,595869.5449650745,9145524.807910077,failed
1114,guacamayo caspi,595630.1862021559,9145759.299627602,center
759,estoraque,448806.2376418044,9153459.406354053,failed
761,lupuna,449352.40407208796,9153598.661511293,failed
823,lupuna,449242.2530170263,9153614.025872977,failed
843,estoraque,449048.53768000717,9153354.316009238,failed
945,estoraque,449046.3797386528,9153661.781069454,failed
765,azãºcar huayo,449500.4733589913,9152445.029405424,failed
766,azãºcar huayo,449531.7590933075,9152393.922565956,failed
767,azãºcar huayo,449610.9549519799,9152507.371271832,failed
768,azãºcar huayo,449785.9330337002,9152464.552142248,failed
769,ana caspi,449919.360630777,9152498.106806895,failed
770,azãºcar huayo,449849.72716958396,9152776.283243608,failed
825,azãºcar huayo,449696.13905521657,9152490.6455871,failed
943,copaiba,450064.974115277,9152736.310189152,failed
944,azãºcar huayo,449859.1538314008,9152514.188242039,failed
795,ishpingo,453377.91156629444,9154019.201661147,failed
797,yacushapana,453845.4410316533,9153762.071138006,failed
860,ishpingo,453714.46051156364,9153832.981305348,failed
910,ishpingo,453874.37574304827,9154053.451152602,failed
911,yacushapana,453934.262649123,9153817.025222186,failed
912,yacushapana,453806.11599446746,9153941.403894488,failed
913,ishpingo,453680.36952305934,9153710.754829802,failed
783,copaiba,451538.8835371121,9153453.180483779,failed
829,copaiba,451411.6969089899,9153302.52530056,failed
880,copaiba,451353.39810955874,9153332.327303419,failed
933,ishpingo,451436.76981209265,9153473.627078915,failed
773,copaiba,450341.6614636778,9152742.86023,failed
774,copaiba,450107.18403353204,9153144.73182621,failed
826,copaiba,450286.64872605796,9152860.84776225,failed
827,copaiba,450351.4400215711,9152922.613177126,failed
856,caoba,450447.5208605185,9153164.20069571,failed
883,caoba,450481.1291305432,9152998.716534086,failed
838,ishpingo,450653.7436008209,9153405.46163776,failed
839,ishpingo,450720.15103034175,9153898.29727883,center
847,ishpingo,450718.7754751786,9153639.350107841,center
870,ishpingo,450854.50410787895,9153800.097693952,failed
942,ishpingo,450645.1260844862,9153528.138403209,center
762,shihuahuaco,448702.2789294625,9152547.354644587,failed
763,shihuahuaco,448779.4875827313,9152605.413238406,failed
764,shihuahuaco,449015.40803762106,9152803.840550506,failed
854,shihuahuaco,448978.3276022839,9152769.093569035,failed
813,ana caspi,455372.85422487935,9154384.150811452,failed
815,ana caspi,455312.39213857515,9154437.697080985,failed
832,ana caspi,455424.8919443502,9154449.441131823,failed
850,capirona,455781.47870592977,9154088.030439107,failed
874,ana caspi,455503.5303027959,9154078.406198742,failed
950,capirona,455717.5384720223,9154297.398237696,failed
951,ana caspi,455594.28193548974,9153987.430803224,failed
952,capirona,455702.2363082552,9153995.369879156,failed
796,shihuahuaco,453106.3307972494,9154182.597242417,failed
830,shihuahuaco,453100.97198615526,9154372.516882397,failed
873,ishpingo,453480.9026587192,9154197.482271004,failed
878,ishpingo,453465.956127661,9154346.405683516,failed
918,shihuahuaco,453092.9714167883,9154207.25471438,failed
920,shihuahuaco,452960.792447898,9154277.741296608,failed
805,ishpingo,454344.09625883197,9153995.501262257,failed
834,shihuahuaco,454283.66351647297,9154251.040199209,failed
852,shihuahuaco,454287.7040911119,9154498.86031379,failed
861,ishpingo,454074.87407534546,9154071.392499492,failed
881,shihuahuaco,454313.35146389314,9154373.973363372,failed
904,shihuahuaco,454356.936537458,9154494.638129529,failed
905,shihuahuaco,454297.1027390012,9154156.748625617,failed
906,shihuahuaco,454393.2859609201,9154299.23226048,failed
907,ishpingo,454016.97090577974,9154231.18495683,failed
908,ishpingo,453941.3800700334,9154395.325122401,failed
867,ishpingo,449351.4024918711,9152361.23020118,failed
820,azãºcar huayo,449809.35556297406,9152908.810889779,failed
824,azãºcar huayo,449504.79119354906,9152912.657707075,failed
778,copaiba,451186.9546608775,9152569.999058474,failed
779,copaiba,451421.3682189054,9152604.136105027,failed
781,copaiba,451210.2893303056,9152690.641714463,failed
782,copaiba,451376.2577085433,9152589.80045431,failed
841,copaiba,451234.29522176116,9152785.100218957,failed
842,copaiba,451277.9411502223,9152590.86159508,failed
859,copaiba,451631.7279242676,9152630.391570019,failed
876,copaiba,451272.43762121233,9152593.874464473,failed
877,copaiba,451298.3399513613,9152579.506294705,failed
882,copaiba,451560.79057696223,9152632.50229494,failed
930,copaiba,451405.68439335696,9152721.12093854,failed
931,copaiba,451435.2681667793,9152742.545113502,failed
934,copaiba,451472.16502865084,9152569.098035533,failed
935,copaiba,451415.06094157486,9152571.176990774,failed
936,copaiba,451355.71011225,9152613.203943845,failed
939,copaiba,451176.63637359405,9152617.717809731,failed
798,shihuahuaco,453508.4124715362,9152458.618531175,failed
799,shihuahuaco,453756.5354751518,9152472.190206178,failed
928,shihuahuaco,453811.1445763251,9152865.645362936,failed
929,shihuahuaco,453877.2524038855,9152569.38325472,failed
871,yacushapana,453962.55672672193,9153743.514862258,failed
909,yacushapana,454319.66078960465,9153952.272288563,failed
791,shihuahuaco,452970.12057678687,9153995.455150856,failed
792,shihuahuaco,453064.7131831447,9153940.726136174,failed
794,azãºcar huayo,452755.9922176895,9153978.985272143,failed
921,azãºcar huayo,452539.1488201402,9153977.508173615,failed
922,estoraque,452492.7850063441,9154105.218014084,failed
817,ana caspi,453367.02050944377,9154706.789265262,failed
818,ana caspi,453564.92803591996,9154666.388034577,failed
819,ana caspi,453614.6053832081,9154620.771832515,failed
821,ana caspi,453622.31421975786,9154914.101297332,failed
855,ana caspi,453612.2941618116,9154720.213347115,failed
862,ana caspi,453388.57275699876,9154930.856392417,failed
872,ana caspi,453473.9455042666,9154606.214349793,failed
879,ana caspi,453457.67348848487,9154788.705079947,failed
915,ana caspi,453448.1969886989,9154952.733800285,failed
916,ana caspi,453384.9691933254,9154854.227376303,failed
917,ana caspi,453327.6371738528,9154674.26816417,failed
919,shihuahuaco,452765.6858470905,9154465.60393621,failed
806,shihuahuaco,454655.10993085953,9154331.09041301,center
807,shihuahuaco,454654.1036731729,9154229.948481863,failed
816,shihuahuaco,454648.34115830145,9154264.154004216,failed
869,shihuahuaco,454725.6326836799,9154459.595214128,failed
890,ishpingo,454750.5904766015,9154083.402251514,failed
901,shihuahuaco,454576.7389991667,9154256.058211317,failed
902,shihuahuaco,454726.1135359623,9154361.542470464,center
903,shihuahuaco,454699.0899081576,9154399.611369804,failed
802,estoraque,455051.3193161183,9152860.72368941,failed
803,estoraque,454927.313565811,9152883.2570122,failed
804,estoraque,454678.03981756413,9153165.0169317,failed
835,estoraque,454907.03270809137,9153027.604717454,failed
863,estoraque,454921.2327274396,9152936.131078247,failed
891,estoraque,455113.0628471764,9152762.151702084,failed
892,estoraque,455082.8124836626,9152774.802510884,failed
893,estoraque,455128.30933197937,9152967.119329333,failed
894,estoraque,454873.20829445054,9152798.936153227,failed
895,estoraque,454920.4905533294,9152830.65998151,failed
896,estoraque,454802.29353435413,9153212.80451429,failed
784,ishpingo,451487.9415450433,9153917.828837924,failed
840,ishpingo,451198.73294682114,9153870.477669982,center
858,ishpingo,451281.0985876896,9153587.613047738,center
932,ishpingo,451319.48327377567,9153760.925955728,failed
775,caoba,450678.29819755844,9153119.865962848,failed
857,caoba,450641.21040840016,9153060.358775033,failed
808,ishpingo,456158.5127269323,9154264.313075043,failed
947,capirona,455988.52791879483,9154093.263141535,failed
948,ishpingo,456113.6167416349,9154382.409561612,failed
949,ishpingo,456096.6892389748,9154424.238500047,failed
756,estoraque,448403.2520658428,9153521.32579529,failed
757,estoraque,448386.369028492,9153553.659566239,failed
758,estoraque,448444.2983012133,9153278.09044217,failed
760,estoraque,448637.06101019855,9153268.686553767,failed
776,estoraque,448551.51328296034,9153660.80754744,failed
822,estoraque,448465.40994407097,9153663.304957427,failed
837,estoraque,448521.48789712845,9153209.832226489,center
865,estoraque,448433.05314227566,9153532.840017017,failed
866,estoraque,448576.38821117015,9153427.130725354,failed
868,estoraque,448571.170514004,9153542.4244774,failed
884,estoraque,448549.61404008826,9153254.97177256,failed
785,ishpingo,451606.61538794695,9153964.085704468,failed
786,ishpingo,451896.4485687833,9153916.249385599,failed
780,caoba,451240.36986989516,9152205.166195603,failed
937,caoba,451318.3400730765,9152547.17109007,center
938,caoba,451436.1415399781,9152547.417523053,center
940,caoba,451499.89304086904,9152252.636253212,failed
941,caoba,451635.16290516953,9152359.803334245,failed
771,ana caspi,450463.5524213416,9152404.724498164,failed
772,ana caspi,450415.61619043554,9152656.853046883,failed
777,ana caspi,450420.27041286865,9152424.156640606,failed
828,ana caspi,450310.2959853333,9152436.136030274,failed
844,ana caspi,450203.9604734924,9152422.3442689,failed
845,ana caspi,450331.0229624462,9152438.957082389,failed
846,ana caspi,450303.23320057435,9152516.609933896,failed
853,ana caspi,450111.2551860791,9152374.67832772,failed
